yearID,teamID,lgID,salary
1998,ANA,AL,41281000
1998,ARI,NL,32347000
1998,ATL,NL,61186000
1998,BAL,AL,72355634
1998,BOS,AL,56757000
1998,CHA,AL,38335000
1998,CHN,NL,50838000
1998,CIN,NL,23005000
1998,CLE,AL,60800166
1998,COL,NL,50484648
1998,DET,AL,24065000
1998,FLO,NL,41322667
1998,HOU,NL,42374000
1998,KCA,AL,36862500
1998,LAN,NL,48820000
1998,MIL,NL,33914904
1998,MIN,AL,27927500
1998,MON,NL,10641500
1998,NYA,AL,66806867
1998,NYN,NL,52077999
1998,OAK,AL,21303000
1998,PHI,NL,36297500
1998,PIT,NL,15065000
1998,SDN,NL,46861500
1998,SEA,AL,54087036
1998,SFN,NL,42565834
1998,SLN,NL,54672521
1998,TBA,AL,27280000
1998,TEX,AL,56572095
1998,TOR,AL,51376000
1999,ANA,AL,55388166
1999,ARI,NL,68703999
1999,ATL,NL,73140000
1999,BAL,AL,80605863
1999,BOS,AL,63497500
1999,CHA,AL,25620000
1999,CHN,NL,62343000
1999,CIN,NL,33962761
1999,CLE,AL,72978462
1999,COL,NL,61935837
1999,DET,AL,36489666
1999,FLO,NL,21085000
1999,HOU,NL,54914000
1999,KCA,AL,26225000
1999,LAN,NL,80862453
1999,MIL,NL,43377395
1999,MIN,AL,21257500
1999,MON,NL,17903000
1999,NYA,AL,86734359
1999,NYN,NL,65092092
1999,OAK,AL,24431833
1999,PHI,NL,31692500
1999,PIT,NL,24697666
1999,SDN,NL,49768179
1999,SEA,AL,54125003
1999,SFN,NL,46595057
1999,SLN,NL,49778195
1999,TBA,AL,38870000
1999,TEX,AL,76709931
1999,TOR,AL,45444333
2000,ANA,AL,51464167
2000,ARI,NL,81027833
2000,ATL,NL,84537836
2000,BAL,AL,81447435
2000,BOS,AL,77940333
2000,CHA,AL,31133500
2000,CHN,NL,60539333
2000,CIN,NL,46867200
2000,CLE,AL,75880771
2000,COL,NL,61111190
2000,DET,AL,58265167
2000,FLO,NL,19872000
2000,HOU,NL,51289111
2000,KCA,AL,23433000
2000,LAN,NL,87924286
2000,MIL,NL,36505333
2000,MIN,AL,16519500
2000,MON,NL,32994333
2000,NYA,AL,92338260
2000,NYN,NL,79509776
2000,OAK,AL,31971333
2000,PHI,NL,47308000
2000,PIT,NL,28928334
2000,SDN,NL,54821000
2000,SEA,AL,58915000
2000,SFN,NL,53737826
2000,SLN,NL,61453863
2000,TBA,AL,62765129
2000,TEX,AL,70795921
2000,TOR,AL,44838332
2001,ANA,AL,47535167
2001,ARI,NL,85082999
2001,ATL,NL,91936166
2001,BAL,AL,67599540
2001,BOS,AL,110035833
2001,CHA,AL,65653667
2001,CHN,NL,64715833
2001,CIN,NL,48986000
2001,CLE,AL,93152001
2001,COL,NL,71541334
2001,DET,AL,53416167
2001,FLO,NL,35762500
2001,HOU,NL,60612667
2001,KCA,AL,35422500
2001,LAN,NL,109105953
2001,MIL,NL,43886833
2001,MIN,AL,24130000
2001,MON,NL,35159500
2001,NYA,AL,112287143
2001,NYN,NL,93174428
2001,OAK,AL,33810750
2001,PHI,NL,41663833
2001,PIT,NL,57760833
2001,SDN,NL,39182833
2001,SEA,AL,74720834
2001,SFN,NL,63280167
2001,SLN,NL,78538333
2001,TBA,AL,56980000
2001,TEX,AL,88633500
2001,TOR,AL,76895999
2002,ANA,AL,61721667
2002,ARI,NL,102819999
2002,ATL,NL,92870367
2002,BAL,AL,60493487
2002,BOS,AL,108366060
2002,CHA,AL,57052833
2002,CHN,NL,75690833
2002,CIN,NL,45050390
2002,CLE,AL,78909449
2002,COL,NL,56851043
2002,DET,AL,55048000
2002,FLO,NL,41979917
2002,HOU,NL,63448417
2002,KCA,AL,47257000
2002,LAN,NL,94850953
2002,MIL,NL,50287833
2002,MIN,AL,40425000
2002,MON,NL,38670500
2002,NYA,AL,125928583
2002,NYN,NL,94633593
2002,OAK,AL,40004167
2002,PHI,NL,57954999
2002,PIT,NL,42323599
2002,SDN,NL,41425000
2002,SEA,AL,80282668
2002,SFN,NL,78299835
2002,SLN,NL,74660875
2002,TBA,AL,34380000
2002,TEX,AL,105526122
2002,TOR,AL,76864333
2003,ANA,AL,79031667
2003,ARI,NL,80657000
2003,ATL,NL,106243667
2003,BAL,AL,73877500
2003,BOS,AL,99946500
2003,CHA,AL,51010000
2003,CHN,NL,79868333
2003,CIN,NL,59355667
2003,CLE,AL,48584834
2003,COL,NL,67179667
2003,DET,AL,49168000
2003,FLO,NL,49450000
2003,HOU,NL,71040000
2003,KCA,AL,40518000
2003,LAN,NL,105572620
2003,MIL,NL,40627000
2003,MIN,AL,55505000
2003,MON,NL,51948500
2003,NYA,AL,152749814
2003,NYN,NL,116876429
2003,OAK,AL,50260834
2003,PHI,NL,70780000
2003,PIT,NL,54812429
2003,SDN,NL,45210000
2003,SEA,AL,86959167
2003,SFN,NL,82852167
2003,SLN,NL,83786666
2003,TBA,AL,19630000
2003,TEX,AL,103491667
2003,TOR,AL,51269000
2004,ANA,AL,100534667
2004,ARI,NL,69780750
2004,ATL,NL,90182500
2004,BAL,AL,51623333
2004,BOS,AL,127298500
2004,CHA,AL,65212500
2004,CHN,NL,90560000
2004,CIN,NL,46615250
2004,CLE,AL,34319300
2004,COL,NL,65445167
2004,DET,AL,46832000
2004,FLO,NL,42143042
2004,HOU,NL,75397000
2004,KCA,AL,47609000
2004,LAN,NL,92902001
2004,MIL,NL,27528500
2004,MIN,AL,53585000
2004,MON,NL,40897500
2004,NYA,AL,184193950
2004,NYN,NL,96660970
2004,OAK,AL,59425667
2004,PHI,NL,92919167
2004,PIT,NL,32227929
2004,SDN,NL,55384833
2004,SEA,AL,81515834
2004,SFN,NL,82019166
2004,SLN,NL,83228333
2004,TBA,AL,29556667
2004,TEX,AL,55050417
2004,TOR,AL,50017000
2005,ARI,NL,62329166
2005,ATL,NL,86457302
2005,BAL,AL,73914333
2005,BOS,AL,123505125
2005,CHA,AL,75178000
2005,CHN,NL,87032933
2005,CIN,NL,61892583
2005,CLE,AL,41502500
2005,COL,NL,47839000
2005,DET,AL,69092000
2005,FLO,NL,60408834
2005,HOU,NL,76779000
2005,KCA,AL,36881000
2005,LAA,AL,94867822
2005,LAN,NL,83039000
2005,MIL,NL,39934833
2005,MIN,AL,56186000
2005,NYA,AL,208306817
2005,NYN,NL,101305821
2005,OAK,AL,55425762
2005,PHI,NL,95522000
2005,PIT,NL,38133000
2005,SDN,NL,63290833
2005,SEA,AL,87754334
2005,SFN,NL,90199500
2005,SLN,NL,92106833
2005,TBA,AL,29679067
2005,TEX,AL,55849000
2005,TOR,AL,45719500
2005,WAS,NL,48581500
2006,ARI,NL,59684226
2006,ATL,NL,90156876
2006,BAL,AL,72585582
2006,BOS,AL,120099824
2006,CHA,AL,102750667
2006,CHN,NL,94424499
2006,CIN,NL,60909519
2006,CLE,AL,56031500
2006,COL,NL,41233000
2006,DET,AL,82612866
2006,FLO,NL,14671500
2006,HOU,NL,88694435
2006,KCA,AL,47294000
2006,LAA,AL,103472000
2006,LAN,NL,98447187
2006,MIL,NL,57568333
2006,MIN,AL,63396006
2006,NYA,AL,194663079
2006,NYN,NL,101084963
2006,OAK,AL,62243079
2006,PHI,NL,88273333
2006,PIT,NL,46717750
2006,SDN,NL,69896141
2006,SEA,AL,87959833
2006,SFN,NL,90056419
2006,SLN,NL,88891371
2006,TBA,AL,34917967
2006,TEX,AL,68228662
2006,TOR,AL,71365000
2006,WAS,NL,63143000
2007,ARI,NL,52067546
2007,ATL,NL,87290833
2007,BAL,AL,93174808
2007,BOS,AL,143026214
2007,CHA,AL,108671833
2007,CHN,NL,99670332
2007,CIN,NL,68524980
2007,CLE,AL,61673267
2007,COL,NL,54041000
2007,DET,AL,94800369
2007,FLO,NL,30507000
2007,HOU,NL,87759000
2007,KCA,AL,67116500
2007,LAA,AL,109251333
2007,LAN,NL,108454524
2007,MIL,NL,70986500
2007,MIN,AL,71439500
2007,NYA,AL,189259045
2007,NYN,NL,115231663
2007,OAK,AL,79366940
2007,PHI,NL,89428213
2007,PIT,NL,38537833
2007,SDN,NL,58110567
2007,SEA,AL,106460833
2007,SFN,NL,90219056
2007,SLN,NL,90286823
2007,TBA,AL,24123500
2007,TEX,AL,68318675
2007,TOR,AL,81942800
2007,WAS,NL,36947500
2008,ARI,NL,66202712
2008,ATL,NL,102365683
2008,BAL,AL,67196246
2008,BOS,AL,133390035
2008,CHA,AL,121189332
